name,code,country,lat,lon,elev,id,peak_name,peak_lon,peak_lat,summit_lon,summit_lat,min_lon,min_lat,max_lon,max_lat,min_height,max_height,bbox_width,bbox_height,bbox_depth
Pic de Granous,PicdeGra,FR,42.9611,0.91455,1227.0m,111,Pic de Granous,0.91455,42.9611,0.9155555555555556,42.96083333333333,0.9127777777777778,42.958333333333336,0.9172222222222223,42.96361111111111,956,1266,17,20,300
Pic de Graves,PicdeGra,FR,42.70876666666667,0.5698500000000001,2491.0m,112,Pic de Graves,0.5698500000000001,42.70876666666667,0.5688888888888889,42.7075,0.5669444444444445,42.70611111111111,0.5716666666666667,42.710277777777776,2224,2552,18,16,318
Pic de Hourgade,PicdeHou,FR,42.73383333333334,0.4487833333333333,2964.0m,113,Pic de Hourgade,0.4487833333333333,42.73383333333334,0.4497222222222222,42.73444444444445,0.4469444444444444,42.73166666666667,0.45166666666666666,42.73666666666667,2630,2947,18,19,307
Pic de la Cascade,PicdelaC,FR,42.73198333333333,0.4983833333333333,2011.0m,114,Pic de la Cascade,0.4983833333333333,42.73198333333333,0.4986111111111111,42.73166666666667,0.49583333333333335,42.72916666666667,0.5011111111111111,42.73444444444445,1818,2004,20,20,176
Pic de la Hage,PicdelaH,FR,42.85505,0.6764833333333333,2165.0m,115,Pic de la Hage,0.6764833333333333,42.85505,0.6777777777777778,42.85527777777778,0.675,42.8525,0.6791666666666667,42.85777777777778,1915,2161,16,20,236
Pic de la Malède,PicdelaM,FR,42.85208333333333,0.8365166666666667,1964.0m,116,Pic de la Malède,0.8365166666666667,42.85208333333333,0.8369444444444445,42.8525,0.8341666666666666,42.849722222222226,0.8391666666666666,42.85472222222222,1776,1964,19,19,178
Pic de la Mine,PicdelaM,FR,42.693933333333334,0.64805,2704.0m,117,Pic de la Mine,0.64805,42.693933333333334,0.6466666666666667,42.69444444444444,0.6452777777777778,42.69166666666667,0.6494444444444445,42.696666666666665,2337,2622,16,19,275
Pic de la Montagnette,PicdelaM,FR,42.69703333333333,0.61645,2558.0m,118,Pic de la Montagnette,0.61645,42.69703333333333,0.6174999999999999,42.697500000000005,0.6147222222222222,42.694722222222225,0.6191666666666666,42.69972222222222,2243,2560,17,19,307
Pic de la Pique,PicdelaP,FR,42.70621666666667,0.6566166666666666,2387.0m,119,Pic de la Pique,0.6566166666666666,42.70621666666667,0.6555555555555556,42.705,0.653888888888889,42.70333333333333,0.6583333333333333,42.70777777777778,2044,2465,17,17,411
Pic de Lègnes,PicdeLèg,FR,42.713033333333335,0.4483333333333333,2642.0m,121,Pic de Lègnes,0.4483333333333333,42.713033333333335,0.4483333333333333,42.713055555555556,0.44555555555555554,42.710277777777776,0.45111111111111113,42.715833333333336,2243,2639,21,21,386
